,artikelnummer,bauweise,boden_und_zargen,bünde,cutaway,decke,erhältlich_seit,farbe,griffbrett,hersteller,inkl_gigbag,inkl_koffer,koffer,modell,preis,sattelbreite_in_mm,tonabnehmer,verkaufseinheit,verkaufsrang
0,450842,,Mahagoni,20,Nein,"Fichte, Massiv",Oktober 2018,Sunburst,Palisander,Yamaha,Nein,,Nein,Yamaha FG820 AB,279.0,"42,00 mm",Nein,1 Stück,54808
1,453084,,Ahorn,20,Nein,"Fichte, Massiv",Februar 2019,Antique Cherry,Richlite,Gibson,Nein,,Ja,Gibson Firebird AC,4498.0,"43,00 mm",Nein,1 Stück,80758
2,441787,,Catalpa,20,Ja,Fichte,Juni 2018,Schwarz,Roseacer,Harley Benton,Nein,,Nein,Harley Benton D-120CE BK Bundle,105.0,"42,50 mm",Ja,1 Stück,69780
3,340990,,Mahagoni,21,Ja,"Mahagoni, massiv",Januar 2015,Sunburst,Palisander,Framus,Nein,,Nein,Framus FD-14MCE VS Legacy Series,389.0,"45,00 mm",Ja,1 Stück,25722
4,462431,,"Mahagoni, Massiv",21,Nein,"Fichte, Massiv",März 2019,Natur,Richlite,Seagull,Nein,,Nein,Seagull Maritime SWS Q1T Natural,849.0,"45,72 mm",Ja,1 Stück,80749
5,425078,,Mahagoni,20,Nein,Zeder,November 2017,Natur,Ovangkol,Baton Rouge,Nein,,Nein,Baton Rouge AR11C/D-W,239.0,"48,00 mm",Nein,1 Stück,31003
6,461836,,Mahagoni,20,Ja,"Fichte, Massiv",März 2019,Natur,Walnuss,Fender,Nein,,Nein,Fender CD-60SCE Nat WN,252.0,"43,00 mm",Ja,1 Stück,7433
7,189146,,Ovangkol,20,Ja,Fichte,Februar 2010,Natur,Ebenholz,Lakewood,Nein,,Ja,Lakewood D-18 CP,2195.0,"44,00 mm",Ja,1 Stück,87073
8,462543,,Mahagoni,20,Nein,"Zeder, massiv",März 2019,Natur,Ovangkol,Baton Rouge,Nein,,Nein,Baton Rouge AR11C/D,239.0,"43,00 mm",Nein,1 Stück,43470
9,457586,,"Mahagoni, Massiv",20,Nein,"Fichte, Massiv",März 2019,Natur,Ebenholz,Taylor,Nein,,Ja,Taylor Builders Edition 517e,2999.0,"44,50 mm",Ja,1 Stück,82814
10,452589,,Palisander,20,Ja,"Fichte, Massiv",November 2018,Natur,Richlite,Gibson,Nein,,Ja,Gibson Hummingbird Rosewood Avant N,2148.0,"43,00 mm",Ja,1 Stück,81769
11,457951,,Padouk,20,Nein,"Fichte, Massiv",März 2019,Natur,Ebenholz,Lakewood,Nein,,Ja,Lakewood D-34,2890.0,"44,00 mm",Ja,1 Stück,80571
12,453132,,Palisander,20,Ja,"Fichte, Massiv",Januar 2019,Natur,Palisander,Gibson,Nein,,Ja,Gibson Songwriter Cutaway AN,2666.0,"43,00 mm",Ja,1 Stück,12036
13,133517,,Palisander,20,Nein,Fichte,November 1999,Natur,Ebenholz,Martin Guitars,Nein,,Ja,Martin Guitars HD-28 Westerngitarre,3390.0,"44,45 mm",Nein,1 Stück,6658
14,438021,,"Palisander, Massiv",21,Nein,"Fichte, Massiv",Mai 2018,Natur,Palisander,Framus,Nein,,Nein,Framus Legacy FD28 N SR VNT E,599.0,"45,00 mm",Ja,1 Stück,13539
15,167847,,Palisander,20,Nein,Fichte,März 2004,Natur,Ebenholz,Martin Guitars,Nein,,Ja,Martin Guitars D-45 Westerngitarre,8990.0,"42,90 mm",Nein,1 Stück,11927
16,444427,,Ziricote,20,Ja,"Fichte, Massiv",Oktober 2018,Natur,Lorbeer,Takamine,Nein,,Nein,Takamine GD93CE-NAT,659.0,"43,00 mm",Ja,1 Stück,8186
17,422113,,Mahagoni,20,Ja,"Fichte, Massiv",Oktober 2017,Natur,Ovangkol,Ibanez,Nein,,Nein,Ibanez AVD9CE-NT Artwood Vintage,459.0,"43,00 mm",Ja,1 Stück,47499
18,344985,,Mahagoni,20,Ja,Fichte,Juli 2014,Schwarz,Palisander,Ibanez,Nein,,Nein,Ibanez PF15ECE-BK B-Stock,172.0,"42,00 mm",Ja,1 Stück,57866
19,439870,,Mahagoni,20,Ja,"Fichte, Massiv",Juni 2018,Natur,Ovangkol,Ibanez,Nein,,Nein,Ibanez AW70ECE-NT,299.0,"43,00 mm",Ja,1 Stück,42935
20,442794,,Mahagoni,20,Nein,Fichte,Juli 2018,Sunburst,Walnuss,Dean Guitars,Nein,,Nein,Dean Guitars AXS Dreadnought TSB,89.0,"43,00 mm",Nein,1 Stück,64698
21,459444,,Bocote,20,Ja,"Fichte, Massiv",,Natur,Brownwood,LAG,Nein,,Ja,LAG THV30DCE Tramontane HyVibe,1498.0,"43,00 mm",Ja,1 Stück,82882
22,450845,,Mahagoni,20,Nein,"Fichte, Massiv",November 2018,Blau,Palisander,Yamaha,Nein,,Nein,Yamaha FG820 SB,299.0,"43,00 mm",Nein,1 Stück,41962
23,416051,,Catalpa,20,Ja,Fichte,Juni 2017,Schwarz,Roseacer,Harley Benton,Nein,,Nein,Harley Benton D-120CE BK Bundle,89.0,"42,50 mm",Ja,1 Stück,3581
24,266387,,Mahagoni,20,Nein,Fichte,Mai 2011,Natur,Walnuss,Fender,Ja,,Nein,Fender CD-60 NA Bundle,156.0,"43,00 mm",Nein,1 Stück,32222
25,442792,,Mahagoni,20,Nein,Mahagoni,Juli 2018,Natur,Walnuss,Dean Guitars,Nein,,Nein,Dean Guitars AXS Dreadnought MAH,119.0,"43,00 mm",Nein,1 Stück,45522
26,449907,,Walnuss,20,Ja,"Fichte, Massiv",Oktober 2018,Natur,Lorbeer,Takamine,Nein,,Nein,Takamine GD51CE-NAT,459.0,"43,00 mm",Ja,1 Stück,4656
27,273326,,Nato,20,Ja,Fichte,November 2011,Sunburst,Ahorn,Fender,Ja,,Nein,Fender Squier SA-105CE SB Bundle,132.0,"43,00 mm",Ja,1 Stück,3084
28,460021,,Ebenholz,20,Ja,"Fichte, Massiv",Februar 2019,Rot,Ebenholz,DAngelico,Nein,,Ja,DAngelico Excel Bowery Auburn,799.0,"43,00 mm",Ja,1 Stück,30764
29,440419,,Walnuss,629,Ja,"Fichte, Massiv",Juni 2018,Hochglanz,Richlite,Gibson,Nein,,Ja,Gibson Hummingbird Walnut AG CEQ,1498.0,"44,00 mm",Ja,1 Stück,80212
30,452544,,Mahagoni,18,Ja,Ahorn,Dezember 2018,Orange Burst,Richlite,Gibson,Nein,,Ja,Gibson J-45 Humbucker Blood Orange,2998.0,"43,00 mm",Ja,1 Stück,84322
31,454076,,"Walnuss, massiv",20,Nein,"Fichte, Massiv",November 2018,Natur,Ebenholz,Furch,Nein,,Nein,Furch Blue D-SW B-Stock,799.0,"45,00 mm",Nein,1 Stück,93902
32,298044,,Ahorn,20,Nein,Fichte,Oktober 2012,Sunburst,Palisander,Epiphone,Nein,,Nein,Epiphone Dove Pro,297.0,"42,70 mm",Ja,1 Stück,4012
33,404452,,Walnuss,20,Ja,"Fichte, Massiv",Februar 2017,Natur,Ebenholz,Taylor,Ja,,Nein,Taylor 110ce Walnut 2017,899.0,"42,80 mm",Ja,1 Stück,9784
34,348637,,"Mahagoni, Massiv",20,Ja,"Zeder, massiv",Januar 2015,Natur,Ovangkol,Harley Benton,Nein,,Nein,Harley Benton CLD-30SCM-CE SolidWood,349.0,"45,00 mm",Ja,1 Stück,12823
35,202640,,Agathis,20,Nein,Fichte,Februar 2008,Natur,Kiefer,Ibanez,Ja,,Nein,Ibanez V50NJP-NT Jam Pack,109.0,"42,50 mm",Nein,1 Stück,23335
36,325417,,Catalpa,20,Ja,Fichte,Oktober 2013,Schwarz,Roseacer,Harley Benton,Ja,,Nein,Harley Benton HBD120CEBK Bundle France,119.0,"42,50 mm",Ja,1 Stück,42181
37,441788,,Catalpa,20,Ja,Fichte,Juni 2018,Schwarz,Roseacer,Harley Benton,Nein,,Nein,Harley Benton D-120CE BK Bundle,125.0,"42,50 mm",Ja,1 Stück,54223
38,441807,,Mahagoni,20,Ja,Fichte,Juni 2018,Natur,Ovangkol,Harley Benton,Nein,,Nein,Harley Benton Custom Line CLD-1048SCE Bundle,239.0,"48,00 mm",Ja,1 Stück,38756
