,artikelnummer,bauweise,boden_und_zargen,bünde,cutaway,decke,erhältlich_seit,farbe,griffbrett,hersteller,inkl_gigbag,koffer,mensur,modell,preis,sattelbreite_in_mm,tonabnehmer,verkaufseinheit,verkaufsrang
0,380608,Parlor,Mahagoni,,Nein,"Fichte, Massiv",Oktober 2016,Sunburst,Revebond,Recording King,Nein,Nein,,Recording King RPH-P2 TS,169.0,"43,00 mm",Nein,1 Stück,33717
1,426821,Folk,Mahagoni,,Nein,Mahagoni,Dezember 2017,Natur,Walnuss,Fender,Nein,Nein,,Fender Alkaline Trio Malibu,289.0,"41,30 mm",Nein,1 Stück,36412
2,382553,Mini Grand Symphony,Mahagoni,,Nein,Mahagoni,August 2016,Natur,Blackwood,Harley Benton,Ja,Nein,,Harley Benton GS-Travel Mahogany,89.0,"43,00 mm",Nein,1 Stück,491
3,460892,Travel,Glas faserverstärkte Kohlefaser,,Ja,Kohlefaser,April 2019,"Schwarz, matt",Kohlefaser,Journey Instruments,Ja,Nein,,Journey Instruments OF660 BK M,1375.0,"44,50 mm",Ja,1 Stück,9930
4,382556,Mini Grand Symphony,Mahagoni,,Nein,Fichte,August 2016,Natur,Blackwood,Harley Benton,Ja,Nein,,Harley Benton GS-Travel Spruce,89.0,"43,00 mm",Nein,1 Stück,10813
5,455864,AE Junior,Ziricote,,Ja,Sitka Fichte massiv,Januar 2019,"Natur, Hochglanz",Ahorn,Ibanez,Nein,Nein,,Ibanez AE315ZR-NT,829.0,"44,00 mm",Ja,1 Stück,80018
6,464762,Folk,Mahagoni,,Ja,Fichte,April 2019,Schwarz,Pau Ferro,Luna,Nein,Nein,,Luna Fauna Phoenix LH BK B-Stock,339.0,"43,00 mm",Ja,1 Stück,97776
7,410803,Mini Grand Symphony,Mahagoni,,Nein,Fichte,Oktober 2017,Natur,Blackwood,Harley Benton,Ja,Nein,,Harley Benton GS-Travel-E Spruce,99.0,"43,00 mm",Ja,1 Stück,9228
8,464884,Parlor,Kirsche,,Nein,"Fichte, Massiv",,Braun,Palisander,Art & Lutherie,Ja,Nein,,Art & Lutherie Roadhouse Hav.Brown Q-Discrete,598.0,"43,70 mm",Ja,1 Stück,80590
9,460255,Folk,Mahagoni,,Nein,"Fichte, Massiv",Februar 2019,Natur,Palisander,Framus,Nein,Nein,,Framus Legacy FF 14 SV Folk B-Stock,279.0,"45,00 mm",Nein,1 Stück,95937
10,457172,Dreadnought,Mahagoni,,Nein,Mahagoni,Januar 2019,Vintage,Blackwood,Harley Benton,Nein,Nein,,Harley Benton Delta Blues DCE Set 1,109.0,"43,00 mm",Ja,1 Stück,29916
11,326005,Grand Concert,Mahagoni,,Nein,Fichte,Oktober 2013,Natur,Palisander,Ibanez,Ja,Nein,,Ibanez VC50NJP-NT,109.0,,Nein,1 Stück,24325
12,420427,Mini Orchestra,Queensland maple,,Nein,"Fichte, Massiv",Oktober 2017,Sunburst,Pau Ferro,Maton,Nein,Ja,,Maton EMTE T.E.Mini,1799.0,"44,10 mm",Ja,1 Stück,82896
13,462295,Concert,Kirsche,,Ja,"Fichte, Massiv",,Rot,Palisander,Art & Lutherie,Nein,Nein,,Art & Lutherie Legacy Tennessee Red CW Q1T,549.0,"43,70 mm",Ja,1 Stück,80644
14,420089,Parlor,Palisander,,Ja,Fichte,September 2017,Natur,Richlite,Gibson,Nein,Ja,,Gibson Parlor Rosewood AG 2018,1498.0,"44,00 mm",Ja,1 Stück,80254
15,410797,Mini Grand Symphony,Mahagoni,,Nein,Mahagoni,Oktober 2017,Natur,Blackwood,Harley Benton,Ja,Nein,,Harley Benton GS-Travel-E Mahogany,109.0,"43,00 mm",Ja,1 Stück,223
16,367232,Travelguitar,Mahagoni,,Nein,Fichte,Juni 2015,Natur,Palisander,Luna Guitars,Nein,Nein,,Luna Guitars Safari Peace B-Stock,129.0,"43,00 mm",Nein,1 Stück,56561
17,454584,Parlor,Mahagoni,,Nein,"Fichte, Massiv",Dezember 2018,Natur,Walnuss,Fender,Nein,Nein,,Fender CP-60S Parlor Natural WN,169.0,"43,00 mm",Nein,1 Stück,28598
18,381996,Parlor,Mahagoni,,Nein,Mahagoni,April 2016,Natur,Walnuss,Luna Guitars,Nein,Nein,,Luna Guitars Gypsy Parlor Mahogany,168.0,"43,00 mm",Nein,1 Stück,32815
