,artikelnummer,bauweise,boden_und_zargen,bünde,cutaway,decke,erhältlich_seit,farbe,griffbrett,hersteller,inkl_gigbag,inkl_koffer,koffer,modell,preis,sattelbreite_in_mm,tonabnehmer,verkaufseinheit,verkaufsrang
0,223577,,Ahorn,20,Nein,Fichte,Juni 2009,Schwarz,Palisander,Epiphone,Nein,,Nein,Epiphone Ej200 Artist Limited Ed Eb Westerngitarre,169.0,"42,70 mm",Nein,1 Stück,57362
1,336335,,"Palisander, Massiv",20,Nein,"Fichte, Massiv",April 2014,Natur,Ebenholz,Yamaha,Ja,,Nein,Yamaha LL 16 D A.R.E NT,899.0,"44,00 mm",Ja,1 Stück,19531
2,421594,,"Ahorn, Palisander",20,Nein,Fichte,Januar 2018,Sunburst,Richlite,Gibson,Nein,,Ja,Gibson J-45 Regal 2018,3899.0,"43,82 mm",Ja,1 Stück,82250
3,459520,Jumbo,Palisander,20,Nein,Fichte,März 2019,Burst,Richlite,Gibson,Nein,Ja,,Gibson SJ-200 Deluxe Rosewood,5499.0,"43,00 mm",Ja,1 Stück,79900
4,457766,,Ahorn,20,Nein,Sitka Fichte massiv,März 2019,Antik,Pau Ferro,Guild,Nein,,Nein,Guild F-250E ATB,579.0,"44,50 mm",Ja,1 Stück,32830
5,336370,,Palisander,20,Nein,"Fichte, Massiv",Mai 2014,Schwarz,Palisander,Yamaha,Ja,,Nein,Yamaha LL 6 A.R.E BL,549.0,"44,00 mm",Ja,1 Stück,44933
6,437996,,Mahagoni,21,Nein,"Fichte, Massiv",Mai 2018,Natur,Palisander,Framus,Nein,,Nein,Framus Legacy Series FJ14 SV Jumbo S,349.0,"45,00 mm",Nein,1 Stück,86582
7,318244,,Ahorn,21,Ja,Fichte,Juni 2013,Rot,Palisander,Gretsch,Nein,,Ja,Gretsch G5022 CE Rancher Jumbo Bundle,532.0,"43,00 mm",Ja,1 Stück,32632
8,462784,,Ovangkol,20,Ja,Fichte,Mai 2019,Sunburst,Pau Ferro,Epiphone,Nein,,Nein,Epiphone EJ-200 Coupe VS,449.0,"427,00 mm",Ja,1 Stück,36339
9,457763,,Ahorn,20,Ja,Sitka Fichte massiv,März 2019,Antik,Pau Ferro,Guild,Nein,,Nein,Guild F-250CE ATB,629.0,"44,50 mm",Ja,1 Stück,44486
10,461228,,Walnuss,20,Nein,Sitka Fichte massiv,April 2019,Walnuss Burst,Walnuss,Gibson,Nein,,Ja,Gibson SJ-200 Studio WB 2019,2898.0,"43,80 mm",Ja,1 Stück,9633
11,145271,,Ahorn,20,Ja,Fichte,November 2000,Sunburst,Palisander,Epiphone,Nein,,Nein,Epiphone EJ-200SCE Jumbo Westerngitarre VS,398.0,"42,70 mm",Ja,1 Stück,1456
12,418775,,"Mahagoni, Massiv",20,Nein,"Fichte, Massiv",April 2018,Natur,Palisander,Guild,Nein,,Ja,Guild F-40 Natural LR Baggs USA,1999.0,"43,00 mm",Ja,1 Stück,31772
13,452633,,Ahorn,20,Nein,Sitka Fichte massiv,Januar 2019,Sunburst,Palisander,Gibson,Nein,,Nein,Gibson SJ-200 Vintage Sunburst,4899.0,"43,00 mm",Nein,1 Stück,79404
14,421789,,Ahorn,20,Nein,Fichte,Januar 2018,Natur,Palisander,Gibson,Nein,,Ja,Gibson SJ-200 Antique Natural LH 2018,3899.0,"43,82 mm",Nein,1 Stück,79855
15,461226,,Walnuss,20,Nein,Sitka Fichte massiv,April 2019,Antik,Walnuss,Gibson,Nein,,Ja,Gibson SJ-200 Studio AN 2019,2885.0,"43,80 mm",Ja,1 Stück,80221
16,210116,,Ahorn,20,Ja,Fichte,Juni 2008,Schwarz,Palisander,Epiphone,Nein,,Nein,Epiphone EJ-200SCE BK,395.0,"42,70 mm",Ja,1 Stück,3094
17,276629,,Ahorn,21,Ja,Fichte,Februar 2012,Rot,Palisander,Gretsch,Nein,,Nein,Gretsch G5022 CE Rancher Jumbo,427.0,"43,00 mm",Ja,1 Stück,14231
18,440822,,Pau Ferro,20,Ja,Fichte,Mai 2018,Natur,Ovangkol,Cort,Nein,,Nein,Cort NDX50 NT B-Stock,499.0,"43,00 mm",Ja,1 Stück,37419
19,453140,,Palisander,20,Ja,Sitka Fichte massiv,März 2019,Natur,Richlite,Gibson,Nein,,Ja,Gibson J-2000 30th Anniversary AN,5798.0,"43,00 mm",Nein,1 Stück,84369
20,441790,,Ahorn,20,Nein,"Fichte, Massiv",August 2018,"Sunburst, Hochglanz",Palisander,Gibson,Nein,,Ja,Gibson SJ-200 Standard VS 2019,4599.0,"43,82 mm",Ja,1 Stück,16053
21,189199,,Mahagoni,20,Ja,Fichte,Dezember 2012,Natur,Ebenholz,Lakewood,Nein,,Ja,Lakewood J-14 CP,2095.0,"44,00 mm",Ja,1 Stück,84984
22,464715,,Mahagoni,21,Ja,Mahagoni,April 2019,Natur,Palisander,Framus,Nein,,Nein,Framus Legacy Series FJ 14 M Jumbo,399.0,"45,00 mm",Ja,1 Stück,82272
23,331628,,Mahagoni,21,Ja,"Fichte, Massiv",August 2014,Weiß,Palisander,Gretsch,Nein,,Nein,Gretsch G5022CWFE Falcon Rancher,599.0,"43,00 mm",Ja,1 Stück,12764
24,418774,,"Mahagoni, Massiv",20,Nein,"Fichte, Massiv",Februar 2018,Natur,Palisander,Guild,Nein,,Ja,Guild F-40 Natural USA,1699.0,"43,00 mm",Nein,1 Stück,79753
25,461202,,Ahorn,20,Nein,"Fichte, Massiv",Mai 2019,Antik,Palisander,Gibson,Nein,,Ja,Gibson SJ-200 Standard AN 2019,4698.0,"43,82 mm",Ja,1 Stück,79897
26,285018,,Ahorn,20,Ja,Fichte,Dezember 2012,Sunburst,Ovangkol,Harley Benton,Nein,,Nein,Harley Benton HB Custom Line King-CE VS,219.0,"43,00 mm",Ja,1 Stück,3166
27,336350,,"Palisander, Massiv",20,Nein,"Fichte, Massiv",April 2014,Natur,Ebenholz,Yamaha,Ja,,Nein,Yamaha LJ 16 A.R.E NT,829.0,"44,00 mm",Ja,1 Stück,43316
28,437936,,Ahorn,21,Nein,"Fichte, Massiv",Mai 2018,Natur,Palisander,Framus,Nein,,Nein,Framus Legacy Series FJ14 SV Jumbo,349.0,"45,00 mm",Nein,1 Stück,80222
29,464069,,Mahagoni,21,Ja,Sitka Fichte massiv,April 2019,Natur,Ovangkol,DAngelico,Nein,,Nein,DAngelico Premier Madison NT,499.0,"43,00 mm",Ja,1 Stück,29027
30,239407,,Palisander,20,Nein,Fichte,April 2010,Natur,Ebenholz,Guild,Nein,,Ja,Guild F-55R NA,3699.0,"43,00 mm",Nein,1 Stück,38786
31,459709,,Mahagoni,19,Ja,"Fichte, Massiv",März 2019,Natur,Palisander,Gibson,Nein,,Ja,Gibson Parlor J-165 Avant Garde AN,1799.0,"43,00 mm",Nein,1 Stück,79553
32,336522,,Palisander,20,Nein,"Fichte, Massiv",April 2014,Natur,Palisander,Yamaha,Ja,,Nein,Yamaha LJ 6 A.R.E NT,579.0,"44,00 mm",Ja,1 Stück,47482
