,artikelnummer,bauweise,boden_und_zargen,bünde,cutaway,decke,erhältlich_seit,farbe,griffbrett,hals,hersteller,inkl_gigbag,inkl_koffer,koffer,korpus,mensur,modell,preis,sattelbreite_in_mm,tonabnehmer,tonabnehmerbestückung,tremolo,verkaufseinheit,verkaufsrang
0,278077,Travel Guitar,Sapele,18,Nein,Fichte,Juni 2012,Natur,Roseacer,,Harley Benton,Ja,,Nein,,,Harley Benton Traveler-Steel,59.0,"42,00 mm",Nein,,,1 Stück,373
1,429709,Redondo,Mahagoni,20,Ja,"Fichte, Massiv",März 2018,Schwarz,Walnuss,,Fender,Nein,,Nein,,,Fender Redondo Player JTB,306.0,"43,00 mm",Ja,,,1 Stück,10795
2,458069,Thinline,Mahagoni,20,Ja,"Fichte, Massiv",Mai 2019,Grau,,,Takamine,Nein,,Ja,,,Takamine LTD 2019 Moon,2799.0,"42,50 mm",Ja,,,1 Stück,4111
3,202628,Thinline Semiakustik,Mahagoni,20,Ja,Esche,Februar 2008,Sunburst,Purple Heart,,Ibanez,Nein,,Nein,,,Ibanez TCM50 Westerngitarre Vintage Brown Sunburst,258.0,"43,00 mm",Ja,,,1 Stück,20107
4,460884,Travel,Pau Ferro,,Nein,"Fichte, Massiv",April 2019,Natur,Ovangkol,,Journey Instruments,Ja,,Nein,,,Journey Instruments OF420,699.0,"44,50 mm",Ja,,,1 Stück,6048
5,441339,Travel Guitar,Erle,22,Ja,Keine,Juni 2018,"Natur, matt",Walnuss,,Traveler Guitars,Ja,,Nein,,,Traveler Escape MK-III Steel NS,555.0,"44,50 mm",Ja,,,1 Stück,41831
6,430081,Newporter,"Mahagoni, Massiv",20,Ja,"Fichte, Massiv",März 2018,Schwarz,Pau Ferro,,Fender,Ja,,Nein,,,Fender Newporter Special MBK w/Bag,565.0,"43,00 mm",Ja,,,1 Stück,8471
7,461433,Grand Auditorium,Koa,20,Nein,"Koa, Massiv",März 2019,Sunburst,Ebenholz,,Taylor,Nein,,Ja,,,Taylor 224ce-K DLX,1699.0,"42,80 mm",Ja,,,1 Stück,3513
8,361373,FXC,Nato,19,Ja,"Zeder, massiv",September 2015,Natur,Palisander,,Takamine,Nein,,Ja,,,Takamine EF261SAN,989.0,"42,50 mm",Ja,,,1 Stück,13736
9,303860,Nex,Palisander,21,Ja,Fichte,Januar 2013,Natur,Palisander,,Takamine,Nein,,Ja,,,Takamine P5NC,1699.0,"42,50 mm",Ja,,,1 Stück,9186
10,109994,Orchestra,Palisander,20,Nein,Fichte,Dezember 2008,Natur,Ebenholz,,Martin Guitars,Nein,,Ja,,,Martin Guitars OMJM John Mayer,4490.0,"44,50 mm",Ja,,,1 Stück,5898
11,326706,Thinline,Fichte,22,Ja,Fichte,Oktober 2013,Schwarz,Palisander,,James Neligan,Nein,,Nein,,,James Neligan EW3000 CBK,259.0,"43,00 mm",Ja,,,1 Stück,13775
12,423689,Grand Auditorium,Copafera,20,Ja,"Fichte, Massiv",Dezember 2017,Natur,Ebenholz,,Taylor,Nein,,Ja,,,Taylor 214ce-CF DLX,1398.0,"42,80 mm",Ja,,,1 Stück,6887
13,443306,Grand Auditorium,Sapele,20,Ja,"Fichte, Massiv",Juli 2018,Natur,Ebenholz,,Taylor,Nein,,Ja,,,Taylor 314Ce V-Class,2099.0,"44,50 mm",Ja,,,1 Stück,5384
14,376065,Thinline,Mahagoni,22,Ja,Ahorn,Dezember 2015,Natur,Palisander,,ESP,Nein,,Nein,,,ESP LTD TL-6 NAT,599.0,"43,00 mm",Ja,,,1 Stück,14397
15,460127,Concert,Mahagoni,20,Nein,"Fichte, Massiv",Februar 2019,Natur,Walnuss,,Fender,Nein,,Nein,,,Fender CC-60S WN Nat,169.0,"43,00 mm",Nein,,,1 Stück,9237
16,443307,Grand Auditorium,"Blackwood, Massiv",20,Ja,"Mahagoni, massiv",August 2018,Sunburst,Ebenholz,,Taylor,Nein,,Ja,,,Taylor 324Ce V-Class Edgeburst,2299.0,"44,50 mm",Ja,,,1 Stück,3549
17,460478,Grand Auditorium,"Blackwood, Massiv",20,Nein,"Mahagoni, massiv",Februar 2019,Sunburst,Ebenholz,,Taylor,Nein,,Ja,,,Taylor 324e V-Class,2199.0,"44,50 mm",Ja,,,1 Stück,6075
18,378844,Orchestra,Mahagoni,20,Nein,Mahagoni,April 2016,Natur,Palisander,,Guild,Nein,,Ja,,,Guild OM-120 Nat Westerly,585.0,"44,45 mm",Nein,,,1 Stück,12296
19,382349,Grand Auditorium,Carbon,21,Nein,Carbon,März 2016,Schwarz,Carbon,,Rainsong,Nein,,Ja,,,Rainsong BI-WS1000N2 Black Ice,2598.0,"44,45 mm",Ja,,,1 Stück,14384
20,459658,Tonare Grand,Ahorn,20,Nein,Fichte,Februar 2019,Natur,Ebenholz,,PRS,Nein,,Ja,,,PRS SE T55E,949.0,"42,00 mm",Ja,,,1 Stück,13011
21,404467,Grand Auditorium,Walnuss,20,Nein,"Fichte, Massiv",Februar 2017,Natur,Ebenholz,,Taylor,Ja,,Nein,,,Taylor 114e Walnut 2017,799.0,"42,80 mm",Ja,,,1 Stück,3605
22,355500,Orchestra,Blackwood,20,Ja,"Zeder, massiv",März 2015,Natur,Palisander,,Maton,Nein,,Ja,,,Maton SRS808C,1849.0,"44,10 mm",Ja,,,1 Stück,7634
23,165300,Mini Jumbo,Mahagoni,22,Ja,Ahorn,Februar 2004,Schwarz,Roseacer,,Harley Benton,Nein,,Nein,,,Harley Benton HBX5TBK Westerngitarre mit Cutaway,119.0,"42,00 mm",Ja,,,1 Stück,13117
24,461420,Grand Auditorium,Koa,20,Ja,"Fichte, Massiv",März 2019,Natur,Ebenholz,,Taylor,Nein,,Ja,,,Taylor 214ce-K DLX,1599.0,"42,80 mm",Ja,,,1 Stück,8377
25,404461,Grand Auditorium,Walnuss,20,Ja,"Fichte, Massiv",Februar 2017,Natur,Ebenholz,,Taylor,Ja,,Nein,,,Taylor 114ce Walnut,899.0,"42,80 mm",Ja,,,1 Stück,1425
26,462260,Mini,Ahorn,20,Nein,"Zeder, massiv",März 2019,Natur,Ovangkol,,Baton Rouge,Nein,,Nein,,,Baton Rouge AR21C/ME,349.0,"43,00 mm",Ja,,,1 Stück,34841
27,191753,O-14 Fret,"HPL, Mahagoni",20,Nein,Fichte,April 2006,Natur,Morado,,Martin Guitars,Ja,,Nein,,,Martin Guitars LX1E,599.0,"42,90 mm",Ja,,,1 Stück,8462
28,425075,Grand Auditorium,Mahagoni,20,Ja,"Zeder, massiv",November 2017,Natur,Ovangkol,,Baton Rouge,Nein,,Nein,,,Baton Rouge AR11C/ACE Grand Auditorium,379.0,"43,00 mm",Ja,,,1 Stück,6935
29,370231,Grand Concert,Palisander,20,Ja,Fichte,August 2015,Natur,Ebenholz,,Lakewood,Nein,,Ja,,,Lakewood M-31 CP 44mm,2149.0,"44,00 mm",Ja,,,1 Stück,13657
30,361831,Silent Guitar,Keine,22,Ja,Keine,Juli 2015,Schwarz,Palisander,,Yamaha,Ja,,Nein,,,Yamaha SLG200S TBK,629.0,"43,00 mm",Ja,,,1 Stück,17300
31,369830,Grand Auditorium,Mahagoni,20,Ja,Mahagoni,Januar 2016,Natur,Blackwood,,Harley Benton,Nein,,Nein,,,Harley Benton EAX-500TL Mahogany,119.0,"43,00 mm",Ja,,,1 Stück,6285
32,459618,Grand Concert,"Blackwood, Massiv",20,Nein,"Mahagoni, massiv",April 2019,Sunburst,Ebenholz,,Taylor,Nein,,Ja,,,Taylor 322e-12Fret-V-Class,2299.0,"44,40 mm",Ja,,,1 Stück,8411
33,396721,GS Mini,Sapele,20,Nein,"Fichte, Massiv",August 2016,Natur,Ebenholz,,Taylor,Ja,,Nein,,,Taylor GS Mini,599.0,"42,80 mm",Ja,,,1 Stück,6170
34,437001,Grand Auditorium,"Mahagoni, Massiv",20,Ja,"Mahagoni, massiv",Juni 2018,Natur,Ebenholz,,Taylor,Nein,,Ja,,,Taylor 524ce V-Class Bracing 2018,2998.0,"44,50 mm",,,,1 Stück,12982
35,361924,Concert,"Mahagoni, Massiv",20,Nein,"Mahagoni, massiv",Mai 2015,Natur,Palisander,,Guild,Nein,,Ja,,,Guild M-120E Nat Westerly,619.0,"44,50 mm",Ja,,,1 Stück,29718
36,457706,T-Style,Mahagoni,22,Ja,Keine,Januar 2019,Grau,Ebenholz,,Fender,Ja,,Nein,,,Fender Acoustasonic Tele SNG,1798.0,"43,00 mm",Ja,,,1 Stück,8352
37,457702,T-Style,Mahagoni,22,Ja,Keine,Januar 2019,Natur,Ebenholz,,Fender,Ja,,Nein,,,Fender Acoustasonic Tele NAT,1798.0,"43,00 mm",Ja,,,1 Stück,3523
38,456702,Malibu,Mahagoni,20,Nein,"Fichte, Massiv",März 2019,Schwarz,Walnuss,,Fender,Nein,,Nein,,,Fender Malibu Player Midnight Satin,299.0,"43,00 mm",Ja,,,1 Stück,6950
39,462204,Thinline,Mahagoni,22,Ja,"Fichte, Massiv",Mai 2019,Schwarz,Richlite,,Godin,Nein,,Ja,,,Godin Multiac Doyle Dykes Black,1998.0,"43,68 mm",Ja,,,1 Stück,9957
40,429775,Angelus,Ahorn,20,Ja,Fichte,Januar 2018,Natur,Ebenholz,,PRS,Nein,,Ja,,,PRS SE A50E,875.0,"428,00 mm",Ja,,,1 Stück,12274
41,436648,Grand Auditorium,"Palisander, Massiv",20,Ja,"Fichte, Massiv",Juni 2018,"Sunburst, Hochglanz",Ebenholz,,Taylor,Nein,Ja,,,,Taylor 714ce V-Class WSB,3398.0,"44,50 mm",Ja,,,1 Stück,10568
42,361829,Silent Guitar,Keine,22,Ja,Keine,Juli 2015,Natur,Palisander,,Yamaha,Ja,,Nein,,,Yamaha SLG200S NA,649.0,"43,00 mm",Ja,,,1 Stück,15117
43,443302,Grand Auditorium,"Ahorn, Massiv",20,Ja,"Fichte, Massiv",Juli 2018,Natur,Ebenholz,,Taylor,Nein,,Ja,,,Taylor 614Ce Builders Edition NT V-C,3999.0,"44,50 mm",Ja,,,1 Stück,12247
44,218988,Orchestra,Palisander,21,Ja,Fichte,Dezember 2008,Natur,Ebenholz,,Takamine,Nein,,Ja,,,Takamine TSF48C,1949.0,"42,50 mm",Ja,,,1 Stück,11465
45,396718,Big Baby Taylor,Sapele,20,Nein,"Fichte, Massiv",August 2016,Natur,Ebenholz,,Taylor,Ja,,Nein,,,Taylor Big Baby Taylor BBT,499.0,"42,80 mm",Nein,,,1 Stück,10744
